Transaction_ID,Date,Amount,Transaction_Type,Account_Balance,Customer_ID,Merchant_ID,Product_Category
ec3faf56-63f9-4326-bb99-ddd98bc2293d,25-02-2023,319.13,Debit,18577.74,8548586925,1963053,Electronics
c63c54fc-952e-40f7-810c-7363f0e9759d,01-02-2023,445.31,UPI,25313.04,8782571299,2338592,Home
c182e77b-3a50-4959-bd7e-bc8b46f5f397,11-03-2023,610.56,Credit,48815.69,2568854969,6095099,Beauty
c7a327d5-6a50-4d38-9c6b-1c6518544201,04-04-2023,698.31,Debit,35016.16,2201390953,1019002,Beauty
e8d18d76-c33c-4247-95c3-e66b665fb282,24-08-2023,140.68,Debit,9377.49,1000851559,2112105,Beauty
8c151f64-6634-401c-b28f-f3523cf6fa7a,20-03-2023,65.49,Credit,13690.85,8359934125,3322557,Clothing
c7a4c517-4118-4298-94f1-4416f763a4b2,01-06-2023,197.27,Debit,28326.7,7901310858,3719585,Home
531e05cb-fbb3-4668-93a4-a54958210323,04-02-2023,766.22,UPI,33303.23,4972010170,3690792,Home
cdbf6480-a92c-4695-96af-f9b9f5e8d410,20-01-2023,759.24,Credit,17031.7,1706687657,6587233,Electronics
4a8581e7-0b0a-4c96-95d1-b35e9d64cc64,26-03-2023,726.03,Credit,10514.31,4063928452,4795199,Sports
de4935ee-14ab-40d1-b893-da7af31fa4a1,21-09-2023,490.27,Debit,5669.82,2413007157,1020244,Beauty
4fd51c8c-6047-4bf1-bbc6-a3015af6833a,20-02-2023,394.94,Credit,14270.16,7228108947,8316646,Beauty
78147e22-3552-4e07-9f96-89949e50deb8,31-12-2023,420.12,UPI,41974.66,4484039959,8874163,Electronics
658f2ccf-b221-4241-90a7-1993ade11ae5,18-02-2023,784.14,Credit,30054.58,2896339653,9077733,Home
1929697f-c06d-4dd7-a731-37a3703cf534,02-01-2023,385.39,Credit,20431.96,5800891639,2208959,Electronics
5975fbe0-f616-47a5-ad1f-4ce925bd7b2e,25-01-2023,138.84,UPI,7310.09,1400076904,8338126,Electronics
70a2c4cf-676f-4506-8eb7-97db2a09393b,06-04-2023,370.08,Credit,19716.88,3621653327,3734268,Sports
fbcdc1c6-f637-4e90-b23e-1df7169eebed,25-10-2023,991.16,Credit,32285.48,2995203547,7807752,Clothing
bfcc875f-d3fc-4c65-b7fe-bf6724465e8f,10-02-2023,200.16,Credit,2603.14,8532175417,8439240,Beauty
c11986ea-8acb-4649-b6b6-94c0d79a91be,20-10-2023,691.84,Debit,24808.82,6631167193,2369257,Clothing
daf5d66c-8c67-49bb-96df-b41ba9a32f3b,19-01-2023,463.39,UPI,15672.01,3200459692,3966944,Beauty
788c73f6-1c26-4265-9192-1fc5471ecd19,13-10-2023,111.48,Debit,3937,7060326503,3502061,Clothing
f97b4950-d6d3-44b5-9626-2d4a359c41b4,11-12-2023,919.77,Debit,2601.13,8476509610,8963911,Sports
acd5b3c6-3f51-4886-9571-de74b24ed727,02-08-2023,571.26,UPI,13177.24,2191802092,2211144,Home
fb433989-9373-4e2b-8e71-0252a25daca4,03-04-2023,10.69,Debit,19305.16,6357648205,4633538,Sports
ee00a23d-7678-4cf8-8496-887b761e6553,17-09-2023,32.48,Credit,25192.69,5330492847,4231715,Clothing
4a3c6939-6cad-458b-a54b-fa728b138f4f,15-05-2023,889.32,Debit,29544.88,4986606860,8416728,Beauty
6a2c0e72-cebd-4efd-949a-e6a2f61da8ed,18-07-2023,311.53,UPI,17303.5,6831695390,5373776,Home
e160323b-2c6f-4bcd-a7ee-94f49a77c94b,01-07-2023,861.28,UPI,23327.32,7815272446,8843870,Sports
b3d7112e-1409-4e6f-9f9d-0c95d7214968,17-11-2023,153.77,Credit,39831.35,1703773577,1199045,Beauty
1e40774d-7fc8-498a-bb4e-db0c5ad7e746,22-09-2023,483.92,Credit,17794.1,4514634140,9262797,Clothing
78205625-5854-4598-a79c-ef68f5a44e55,15-06-2023,635.91,UPI,13113.71,4253440375,1567798,Sports
0eba345c-42f7-4e72-bfd1-13464f4743ac,21-12-2023,658.28,Credit,47980.85,2818415543,9794663,Home
d13553e3-fc4b-4a63-adf5-ad3768ad9975,19-03-2023,517.76,Debit,34034.43,3835242006,5627566,Sports
edad9f53-1306-45e4-a293-68e76ba0a485,09-11-2023,420.05,Debit,44085.81,1050108301,9140235,Clothing
cd16b215-3d84-44c8-934a-66da48ad6a17,08-08-2023,74.5,Credit,40525.57,3749900457,2180108,Clothing
80ef0c32-1304-4e4e-9297-0267def86b65,03-08-2023,450.95,Debit,38229.77,4200187977,2546085,Home
571d4eed-284d-4cc3-b998-901933b2de10,08-12-2023,121.15,Debit,40972.61,9703688346,1657386,Home
0d6b5973-5b35-4e1b-a90d-5d09c284925a,20-04-2023,629.88,Debit,44370.14,6924756840,3552223,Home
dd990583-af0e-4191-a992-66e7614e7bea,25-12-2023,349.79,Debit,42587.3,5957981835,3253386,Electronics
ba9cfac4-c150-486d-a395-5cd304073769,19-10-2023,698.46,Debit,16849.18,7888059160,2422824,Sports
6c7fb327-43ee-45d7-93c9-56d54c2b6139,18-04-2023,201.09,UPI,9733.25,5126432494,7210198,Clothing
631ebdd7-fc74-4060-b575-50874941d572,24-05-2023,490.21,Debit,34837.22,7084835018,1514959,Clothing
47adee7f-0c13-416e-a445-59ee82714a8b,15-12-2023,114.62,Debit,16656.17,8701770842,9028432,Electronics
2e486179-a922-4610-a074-e7487a83758c,07-10-2023,852.71,Credit,18660.37,3072145617,8630838,Clothing
4f95932f-293c-481d-89b8-540c9935b202,18-07-2023,949.29,UPI,44558.39,1833969715,7074071,Sports
9eeaf16a-ba25-4f68-be8f-861521d05c07,11-02-2023,922.48,Debit,27425.69,1242008048,9346405,Electronics
71c9fad5-7095-4597-befa-a2a7bb7a6a99,17-12-2023,318.77,UPI,30922.01,5427365327,9275853,Home
891b1082-28cd-4766-aa8d-84833848440b,29-07-2023,861,Credit,28590.8,9847099697,2926397,Home
